Date,Open,High,Low,Close
08/25/2020,"2,544.61","2,575.37","2,542.19","2,559.03"
08/24/2020,"2,535.69","2,544.21","2,526.51","2,538.61"
08/21/2020,"2,528.54","2,547.83","2,526.27","2,528.54"
08/20/2020,"2,537.11","2,545.07","2,506.77","2,527.92"
08/19/2020,"2,561.04","2,567.21","2,555.44","2,561.04"
08/18/2020,"2,574.82","2,579.36","2,557.94","2,563.09"
08/17/2020,"2,580.56","2,596.81","2,565.02","2,571.55"
08/14/2020,"2,584.50","2,600.05","2,572.64","2,581.32"
08/13/2020,"2,574.80","2,602.33","2,568.10","2,595.97"
08/12/2020,"2,530.75","2,563.79","2,521.06","2,563.20"
08/11/2020,"2,547.52","2,559.76","2,522.80","2,544.15"
08/07/2020,"2,558.30","2,558.96","2,529.35","2,545.51"
08/06/2020,"2,551.03","2,559.10","2,559.10","2,559.10"
08/05/2020,"2,527.31","2,549.07","2,513.16","2,532.69"
08/04/2020,"2,495.13","2,523.78","2,491.39","2,515.70"
08/03/2020,"2,522.53","2,523.78","2,478.39","2,484.91"
07/30/2020,"2,581.66","2,581.66","2,511.02","2,529.82"
07/29/2020,"2,581.48","2,586.16","2,564.46","2,573.45"
07/28/2020,"2,587.81","2,603.31","2,580.89","2,582.97"
07/27/2020,"2,589.95","2,598.68","2,570.86","2,575.79"
07/24/2020,"2,603.64","2,603.83","2,572.93","2,579.51"
07/23/2020,"2,596.88","2,622.81","2,592.57","2,612.35"
07/22/2020,"2,622.02","2,594.53","2,594.53","2,594.53"
07/21/2020,"2,629.33","2,644.51","2,622.97","2,629.45"
07/20/2020,"2,618.01","2,616.30","2,616.30","2,616.30"
07/17/2020,"2,618.48","2,640.38","2,618.48","2,618.48"
07/16/2020,"2,651.93","2,661.95","2,621.02","2,623.67"
07/15/2020,"2,643.76","2,658.90","2,641.80","2,648.90"
07/14/2020,"2,617.98","2,631.81","2,604.95","2,620.19"
07/13/2020,"2,669.98","2,670.93","2,629.68","2,631.08"
07/09/2020,"2,678.92","2,679.98","2,652.07","2,652.65"
07/08/2020,"2,665.51","2,677.40","2,653.02","2,669.49"
